timediff, signalLevel, blinkStrength, attention, meditation, lowGamma, highGamma, highAlpha, delta, highBeta, lowAlpha, lowBeta, theta
0.26311373710632324, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.774017333984375, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.2866950035095215, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.7968831062316895, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.3053176403045654, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.820040464401245, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.3323490619659424, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.6571247577667236, 0, 0, 40, 50, 4833, 2907, 6465, 7561, 2902, 1136, 9025, 4838
3.9058706760406494, 0, 0, 43, 50, 948, 3714, 10724, 7130, 11754, 9562, 6951, 23755
4.152968645095825, 0, 0, 60, 41, 3463, 2320, 7173, 28176, 3885, 5057, 2347, 3868
4.399932861328125, 0, 0, 54, 24, 2671, 2305, 9930, 117739, 5367, 8496, 9300, 50899
5.392247676849365, 0, 0, 61, 29, 3259, 3169, 7677, 22177, 7127, 4067, 2868, 6603
6.389021158218384, 0, 0, 61, 29, 1318, 2794, 1721, 4911, 4832, 9246, 12289, 5445
7.3767409324646, 0, 0, 67, 24, 5629, 6227, 14189, 48365, 9109, 1110, 4781, 5260
8.399561882019043, 0, 0, 63, 35, 1754, 2237, 7166, 9472, 1894, 11018, 7756, 18820
9.394212007522583, 0, 0, 48, 23, 2639, 1422, 976, 6824, 3946, 5283, 1671, 26391
10.385870218276978, 0, 0, 35, 11, 1922, 974, 1519, 8203, 3534, 3633, 2594, 27920
11.377774000167847, 0, 0, 20, 11, 2375, 2395, 6276, 6262, 2419, 4545, 3373, 8509
12.371883869171143, 0, 0, 38, 16, 2702, 6424, 7778, 2343, 2270, 490, 2411, 3598
13.358628034591675, 0, 0, 44, 24, 3029, 3973, 9103, 5535, 4610, 977, 7390, 10450
14.348515033721924, 0, 0, 56, 38, 2515, 2438, 4369, 8153, 3904, 4974, 3363, 9043
15.343080997467041, 0, 0, 60, 43, 2840, 4614, 8518, 12916, 3180, 5032, 4114, 3137
16.32946014404297, 0, 0, 40, 54, 4476, 1255, 59714, 6042, 3003, 10009, 7638, 8362
18.34685444831848, 0, 0, 21, 70, 6055, 6354, 21156, 43485, 3218, 9235, 3534, 15879
19.339832544326782, 0, 0, 27, 64, 3818, 4479, 12218, 15339, 9229, 9989, 12843, 7401
20.33040714263916, 0, 0, 38, 56, 2623, 2690, 27710, 6749, 3393, 9609, 14857, 8769
