timediff, signalLevel, blinkStrength, attention, meditation, lowGamma, highGamma, highAlpha, delta, highBeta, lowAlpha, lowBeta, theta
0.16542911529541016, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6778864860534668, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.1906328201293945, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.7041001319885254, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.2189555168151855, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.7293760776519775, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.181720733642578, 0, 0, 56, 66, 7541, 7239, 28261, 3260, 15453, 6399, 10311, 23382
3.678223133087158, 0, 0, 66, 57, 3686, 8243, 12591, 3480, 7614, 10634, 4652, 7233
3.9280452728271484, 0, 0, 80, 47, 10585, 4805, 8770, 12739, 16302, 9339, 3945, 13680
4.330869197845459, 0, 0, 83, 47, 17468, 9457, 9990, 6442, 10877, 8582, 9351, 6261
5.33013916015625, 0, 0, 84, 56, 4752, 6506, 49967, 2237, 20636, 33903, 3129, 3854
6.3285369873046875, 0, 0, 100, 47, 4785, 14246, 6756, 2380, 18233, 2394, 5688, 3534
7.325173616409302, 0, 0, 97, 54, 3884, 6780, 21612, 7882, 21177, 19718, 4261, 7133
8.295695304870605, 0, 0, 96, 50, 5310, 8571, 9125, 11798, 13286, 6215, 5396, 15493
9.298239946365356, 0, 0, 94, 44, 6687, 6193, 14296, 2988, 9579, 17225, 2969, 9329
10.294622898101807, 0, 0, 78, 53, 11832, 8713, 14908, 4717, 9463, 17028, 7398, 12311
11.289977550506592, 0, 0, 80, 44, 9276, 8028, 7394, 5867, 16279, 9469, 12411, 12089
12.287497758865356, 0, 0, 69, 50, 12251, 7908, 24765, 6582, 6755, 5471, 2467, 23884
13.283614158630371, 0, 0, 64, 54, 5590, 7318, 40245, 4839, 8413, 18625, 3690, 9705
14.283106327056885, 0, 0, 80, 47, 9710, 7613, 3564, 8330, 16669, 6091, 5260, 3819
15.280539989471436, 0, 0, 66, 61, 8375, 19803, 95878, 5108, 17612, 24907, 9168, 13172
16.27783489227295, 0, 0, 69, 67, 9790, 6721, 60304, 109413, 18338, 20699, 11049, 12861
17.272727727890015, 0, 0, 67, 60, 12148, 10299, 74122, 384499, 21378, 44841, 18697, 83630
18.277371644973755, 0, 0, 43, 66, 4042, 5500, 16038, 508832, 3802, 17702, 9005, 23257
19.272839307785034, 0, 0, 41, 50, 14148, 21774, 8266, 139844, 19813, 47011, 7895, 112655
20.266398429870605, 0, 0, 53, 43, 8220, 5601, 15757, 7775, 20087, 7032, 3298, 6110
